year_month,district,okrug,official_secondary_sqm,official_newbuild_sqm,official_rent_sqm,secondary_mom_change_pct,cbr_key_rate_pct,avg_mortgage_rate_pct,n_listings_ours,our_avg_price_all,diff_vs_official_pct,is_new_moscow
2020-01-01,Aeroport,SAO,220700,248600,920,,6.0,8.5,3,154400.0,-30.0,False
2020-01-01,Akademichesky,YuZAO,282900,313200,1179,,6.0,8.5,4,185400.0,-34.5,False
2020-01-01,Alekseevsky,SVAO,227900,257500,949,,6.0,8.5,9,157422.0,-30.9,False
2020-01-01,Altufyevsky,SVAO,173500,191000,723,,6.0,8.5,4,96925.0,-44.1,False
2020-01-01,Arbat,CAO,480000,543700,2000,,6.0,8.5,4,374250.0,-22.0,False
2020-01-01,Babushkinsky,SVAO,186300,200900,776,,6.0,8.5,3,118300.0,-36.5,False
2020-01-01,Basmanny,CAO,380000,430100,1583,,6.0,8.5,5,245700.0,-35.3,False
2020-01-01,Begovoy,SAO,246600,279900,1028,,6.0,8.5,2,187100.0,-24.1,False
2020-01-01,Beskudnikovsky,SAO,178200,191700,742,,6.0,8.5,5,114020.0,-36.0,False
2020-01-01,Bibirevo,SVAO,180900,204800,754,,6.0,8.5,8,105113.0,-41.9,False
2020-01-01,Biryulyovo Vostochnoye,YuAO,161500,178800,673,,6.0,8.5,1,83400.0,-48.4,False
2020-01-01,Biryulyovo Zapadnoye,YuAO,157300,181200,655,,6.0,8.5,4,98300.0,-37.5,False
2020-01-01,Bogorodskoye,VAO,194100,209100,809,,6.0,8.5,4,131100.0,-32.5,False
2020-01-01,Brateyevo,YuAO,165900,182800,691,,6.0,8.5,5,100360.0,-39.5,False
2020-01-01,Butyrsky,SVAO,208800,233700,870,,6.0,8.5,5,104120.0,-50.1,False
2020-01-01,Chertanovo Severnoye,YuAO,185800,198600,774,,6.0,8.5,5,124740.0,-32.9,False
2020-01-01,Chertanovo Tsentralnoye,YuAO,177900,198800,741,,6.0,8.5,6,121983.0,-31.4,False
2020-01-01,Chertanovo Yuzhnoye,YuAO,172700,195000,720,,6.0,8.5,5,121180.0,-29.8,False
2020-01-01,Cheryomushki,YuZAO,254300,281700,1059,,6.0,8.5,2,203550.0,-20.0,False
2020-01-01,Danilovsky,YuAO,234600,252000,977,,6.0,8.5,3,163133.0,-30.5,False
2020-01-01,Desyonovskoye,NAO,135100,143800,563,,6.0,8.5,5,62620.0,-53.6,True
2020-01-01,Dmitrovsky,SAO,178000,193800,741,,6.0,8.5,1,114000.0,-36.0,False
2020-01-01,Donskoy,YuAO,237500,267300,990,,6.0,8.5,3,203633.0,-14.3,False
2020-01-01,Dorogomilovo,ZAO,373300,391300,1555,,6.0,8.5,5,272920.0,-26.9,False
2020-01-01,Fili-Davydkovo,ZAO,277300,308900,1155,,6.0,8.5,5,209740.0,-24.4,False
2020-01-01,Filimonkovskoye,NAO,129900,140300,541,,6.0,8.5,5,54880.0,-57.8,True
2020-01-01,Filyovsky Park,ZAO,300100,340100,1250,,6.0,8.5,3,214233.0,-28.6,False
2020-01-01,Gagarinsky,YuZAO,319800,335400,1333,,6.0,8.5,3,262167.0,-18.0,False
2020-01-01,Golovinsky,SAO,195500,213500,814,,6.0,8.5,4,126475.0,-35.3,False
2020-01-01,Golyanovo,VAO,165800,173300,691,,6.0,8.5,9,105944.0,-36.1,False
2020-01-01,Ivanovskoye,VAO,174300,199400,726,,6.0,8.5,7,112314.0,-35.6,False
2020-01-01,Izmaylovo,VAO,207000,229900,862,,6.0,8.5,6,130750.0,-36.8,False
2020-01-01,Khamovniki,CAO,514900,567000,2145,,6.0,8.5,8,373813.0,-27.4,False
2020-01-01,Khoroshyovo-Mnyovniki,SZAO,270500,305800,1127,,6.0,8.5,8,184663.0,-31.7,False
2020-01-01,Khoroshyovsky,SAO,256700,293900,1070,,6.0,8.5,5,188680.0,-26.5,False
2020-01-01,Khovrino,SAO,173200,189400,722,,6.0,8.5,6,108700.0,-37.2,False
2020-01-01,Kievsky,TAO,72600,79900,302,,6.0,8.5,6,38417.0,-47.1,True
2020-01-01,Klyonovskoye,TAO,70600,77200,294,,6.0,8.5,9,35278.0,-50.0,True
2020-01-01,Kokoshkino,NAO,114800,129800,478,,6.0,8.5,8,68913.0,-40.0,True
2020-01-01,Konkovo,YuZAO,237400,253300,989,,6.0,8.5,4,149200.0,-37.2,False
2020-01-01,Koptevo,SAO,192900,213600,804,,6.0,8.5,8,112863.0,-41.5,False
2020-01-01,Kosino-Ukhtomsky,VAO,161600,178700,673,,6.0,8.5,5,91140.0,-43.6,False
2020-01-01,Kotlovka,YuZAO,260600,287500,1086,,6.0,8.5,6,165533.0,-36.5,False
2020-01-01,Krasnopakhorskoye,TAO,88700,97000,370,,6.0,8.5,6,42633.0,-51.9,True
2020-01-01,Krasnoselsky,CAO,358800,392700,1495,,6.0,8.5,9,210533.0,-41.3,False
2020-01-01,Krylatskoye,SZAO,307900,342400,1283,,6.0,8.5,6,186000.0,-39.6,False
2020-01-01,Kuntsevo,ZAO,266300,281300,1109,,6.0,8.5,6,165850.0,-37.7,False
2020-01-01,Kurkino,SZAO,250100,271600,1042,,6.0,8.5,7,138386.0,-44.7,False
2020-01-01,Levoberezhny,SAO,180300,199500,751,,6.0,8.5,4,105650.0,-41.4,False
2020-01-01,Lianozovo,SVAO,177100,194900,738,,6.0,8.5,5,102500.0,-42.1,False
2020-01-01,Lomonosovsky,YuZAO,302400,342400,1260,,6.0,8.5,3,182333.0,-39.7,False
2020-01-01,Losinoostrovsky,SVAO,185100,203100,771,,6.0,8.5,6,105783.0,-42.9,False
2020-01-01,Marfino,SVAO,186800,203000,778,,6.0,8.5,8,115088.0,-38.4,False
2020-01-01,Marushkinskoye,NAO,116500,127100,485,,6.0,8.5,6,58533.0,-49.8,True
2020-01-01,Maryina Roshcha,SVAO,224300,242400,935,,6.0,8.5,4,185975.0,-17.1,False
2020-01-01,Meshchansky,CAO,367300,393700,1530,,6.0,8.5,3,297700.0,-18.9,False
2020-01-01,Metrogorodok,VAO,174800,187200,728,,6.0,8.5,4,109450.0,-37.4,False
2020-01-01,Mikhaylovo-Yartsevskoye,TAO,72800,83000,303,,6.0,8.5,5,40320.0,-44.6,True
2020-01-01,Mitino,SZAO,206600,228300,861,,6.0,8.5,4,136075.0,-34.1,False
2020-01-01,Molzhaninovsky,SAO,152500,170000,636,,6.0,8.5,2,91950.0,-39.7,False
2020-01-01,Moskovsky,NAO,145000,162000,604,,6.0,8.5,2,80050.0,-44.8,True
2020-01-01,Moskvorechye-Saburovo,YuAO,176700,190800,736,,6.0,8.5,7,128414.0,-27.3,False
2020-01-01,Mosrentgen,NAO,152000,172900,633,,6.0,8.5,1,88900.0,-41.5,True
2020-01-01,Mozhaysky,ZAO,239800,263500,999,,6.0,8.5,4,159475.0,-33.5,False
2020-01-01,Nagatino-Sadovniki,YuAO,212000,233200,883,,6.0,8.5,6,172383.0,-18.7,False
2020-01-01,Nagatinsky Zaton,YuAO,221800,246200,924,,6.0,8.5,6,162900.0,-26.6,False
2020-01-01,Nagorny,YuAO,216000,242300,900,,6.0,8.5,4,145325.0,-32.7,False
2020-01-01,Novo-Peredelkino,ZAO,193200,215700,805,,6.0,8.5,9,115433.0,-40.3,False
2020-01-01,Novofyodorovskoye,TAO,72000,76700,300,,6.0,8.5,6,43433.0,-39.7,True
2020-01-01,Novogireyevo,VAO,189300,214900,789,,6.0,8.5,2,119150.0,-37.1,False
2020-01-01,Novokosino,VAO,178400,199800,743,,6.0,8.5,8,94650.0,-46.9,False
2020-01-01,Obruchevsky,YuZAO,250300,285800,1043,,6.0,8.5,2,168400.0,-32.7,False
2020-01-01,Ochakovo-Matveyevskoye,ZAO,244000,280800,1017,,6.0,8.5,4,153600.0,-37.0,False
2020-01-01,Orekhovo-Borisovo Severnoye,YuAO,163600,180200,682,,6.0,8.5,3,75100.0,-54.1,False
2020-01-01,Orekhovo-Borisovo Yuzhnoye,YuAO,163900,178100,683,,6.0,8.5,6,82217.0,-49.8,False
2020-01-01,Ostankinsky,SVAO,226400,246900,943,,6.0,8.5,8,143950.0,-36.4,False
2020-01-01,Otradnoye,SVAO,187300,207500,781,,6.0,8.5,8,109825.0,-41.4,False
2020-01-01,Perovo,VAO,188900,213800,787,,6.0,8.5,5,145660.0,-22.9,False
2020-01-01,Pervomayskoye,TAO,80600,88200,336,,6.0,8.5,4,41200.0,-48.9,True
2020-01-01,Pokrovskoye-Streshnevo,SZAO,233200,260200,971,,6.0,8.5,6,170350.0,-27.0,False
2020-01-01,Preobrazhenskoye,VAO,200800,220200,837,,6.0,8.5,8,179513.0,-10.6,False
2020-01-01,Presnensky,CAO,439400,504100,1831,,6.0,8.5,5,360320.0,-18.0,False
2020-01-01,Prospekt Vernadskogo,ZAO,310400,337700,1293,,6.0,8.5,3,199267.0,-35.8,False
2020-01-01,Ramenki,ZAO,319800,354300,1332,,6.0,8.5,2,193050.0,-39.6,False
2020-01-01,Rogovskoye,TAO,72900,76400,304,,6.0,8.5,4,30475.0,-58.2,True
2020-01-01,Rostokino,SVAO,189300,204500,789,,6.0,8.5,6,160117.0,-15.4,False
2020-01-01,Ryazanovskoye,NAO,117100,127200,488,,6.0,8.5,4,56975.0,-51.3,True
2020-01-01,Savyolovsky,SAO,237300,263400,989,,6.0,8.5,8,158075.0,-33.4,False
2020-01-01,Severnoye Butovo,YuZAO,212100,224900,884,,6.0,8.5,7,127071.0,-40.1,False
2020-01-01,Severnoye Izmaylovo,VAO,187700,213700,782,,6.0,8.5,6,133650.0,-28.8,False
2020-01-01,Severnoye Medvedkovo,SVAO,182200,202300,759,,6.0,8.5,7,96329.0,-47.1,False
2020-01-01,Severnoye Tushino,SZAO,211300,232000,880,,6.0,8.5,3,121233.0,-42.6,False
2020-01-01,Severny,SVAO,163200,186300,680,,6.0,8.5,11,87009.0,-46.7,False
2020-01-01,Shchapovskoye,TAO,75500,84700,315,,6.0,8.5,7,42071.0,-44.3,True
2020-01-01,Shcherbinka,NAO,141700,149900,590,,6.0,8.5,4,72075.0,-49.1,True
2020-01-01,Shchukino,SZAO,261500,285400,1090,,6.0,8.5,8,189313.0,-27.6,False
2020-01-01,Sokol,SAO,255900,282100,1066,,6.0,8.5,6,201817.0,-21.1,False
2020-01-01,Sokolinaya Gora,VAO,185000,196200,771,,6.0,8.5,8,132338.0,-28.5,False
2020-01-01,Sokolniki,VAO,217900,231700,908,,6.0,8.5,6,151217.0,-30.6,False
2020-01-01,Solntsevo,ZAO,209700,233300,874,,6.0,8.5,7,118543.0,-43.5,False
2020-01-01,Sosenskoye,NAO,145100,156900,605,,6.0,8.5,7,71814.0,-50.5,True
2020-01-01,Strogino,SZAO,264800,286400,1103,,6.0,8.5,4,213625.0,-19.3,False
2020-01-01,Sviblovo,SVAO,187800,204300,783,,6.0,8.5,6,144167.0,-23.2,False
2020-01-01,Tagansky,CAO,352300,391100,1468,,6.0,8.5,3,276900.0,-21.4,False
2020-01-01,Timiryazevsky,SAO,218200,238500,909,,6.0,8.5,8,161038.0,-26.2,False
2020-01-01,Troitsk,TAO,101800,114100,424,,6.0,8.5,3,48067.0,-52.8,True
2020-01-01,Troparyovo-Nikulino,ZAO,280300,311700,1168,,6.0,8.5,7,209229.0,-25.4,False
2020-01-01,Tsaritsyno,YuAO,177400,196500,739,,6.0,8.5,6,111683.0,-37.0,False
2020-01-01,Tverskoy,CAO,464100,509600,1934,,6.0,8.5,5,451400.0,-2.7,False
2020-01-01,Tyoply Stan,YuZAO,211000,237400,879,,6.0,8.5,6,102483.0,-51.4,False
2020-01-01,Veshnyaki,VAO,167200,183600,696,,6.0,8.5,4,96650.0,-42.2,False
2020-01-01,Vnukovo,ZAO,195400,206700,814,,6.0,8.5,7,104957.0,-46.3,False
2020-01-01,Vnukovskoye,NAO,146200,161600,609,,6.0,8.5,5,87460.0,-40.2,True
2020-01-01,Voronovskoye,TAO,76200,85100,318,,6.0,8.5,7,35914.0,-52.9,True
2020-01-01,Voskresenskoye,NAO,140500,150600,585,,6.0,8.5,5,84440.0,-39.9,True
2020-01-01,Vostochnoye Izmaylovo,VAO,200800,219800,837,,6.0,8.5,4,136175.0,-32.2,False
2020-01-01,Vostochny,VAO,159800,169400,666,,6.0,8.5,6,104867.0,-34.4,False
2020-01-01,Voykovsky,SAO,216300,237200,901,,6.0,8.5,6,146150.0,-32.4,False
2020-01-01,Yakimanka,CAO,462000,496900,1925,,6.0,8.5,6,342033.0,-26.0,False
2020-01-01,Yaroslavsky,SVAO,177000,198300,738,,6.0,8.5,7,104829.0,-40.8,False
2020-01-01,Yasenevo,YuZAO,236100,259400,984,,6.0,8.5,10,219460.0,-7.0,False
2020-01-01,Yuzhnoye Butovo,YuZAO,198200,216300,826,,6.0,8.5,7,112643.0,-43.2,False
2020-01-01,Yuzhnoye Medvedkovo,SVAO,182500,187100,760,,6.0,8.5,5,126460.0,-30.7,False
2020-01-01,Yuzhnoye Tushino,SZAO,216200,235500,901,,6.0,8.5,2,109500.0,-49.4,False
2020-01-01,Zamoskvorechye,CAO,411600,464100,1715,,6.0,8.5,4,327725.0,-20.4,False
2020-01-01,Zapadnoye Degunino,SAO,187500,204300,781,,6.0,8.5,1,106800.0,-43.0,False
2020-01-01,Zelenograd,ZelAO,123300,138000,514,,6.0,8.5,4,64400.0,-47.8,True
2020-01-01,Zyablikovo,YuAO,164600,177300,686,,6.0,8.5,5,92240.0,-44.0,False
2020-01-01,Zyuzino,YuZAO,254900,285500,1062,,6.0,8.5,3,136167.0,-46.6,False
2020-02-01,Aeroport,SAO,241500,264200,1006,9.41,6.0,8.5,5,192760.0,-20.2,False
2020-02-01,Akademichesky,YuZAO,288100,323800,1201,1.84,6.0,8.5,5,165960.0,-42.4,False
2020-02-01,Alekseevsky,SVAO,231700,250200,965,1.67,6.0,8.5,7,158943.0,-31.4,False
2020-02-01,Altufyevsky,SVAO,175500,190700,731,1.12,6.0,8.5,5,102480.0,-41.6,False
2020-02-01,Arbat,CAO,469100,531500,1955,-2.28,6.0,8.5,5,361420.0,-23.0,False
2020-02-01,Babushkinsky,SVAO,193600,207800,807,3.88,6.0,8.5,4,146150.0,-24.5,False
2020-02-01,Basmanny,CAO,382700,414900,1594,0.7,6.0,8.5,6,309617.0,-19.1,False
2020-02-01,Begovoy,SAO,260100,289600,1084,5.48,6.0,8.5,5,157860.0,-39.3,False
2020-02-01,Beskudnikovsky,SAO,180700,204500,753,1.42,6.0,8.5,6,110517.0,-38.8,False
2020-02-01,Bibirevo,SVAO,178000,193400,742,-1.6,6.0,8.5,6,112067.0,-37.0,False
2020-02-01,Biryulyovo Vostochnoye,YuAO,158700,166500,661,-1.75,6.0,8.5,4,81825.0,-48.4,False
2020-02-01,Biryulyovo Zapadnoye,YuAO,160400,178300,668,2.0,6.0,8.5,2,87950.0,-45.2,False
2020-02-01,Bogorodskoye,VAO,190900,216400,795,-1.66,6.0,8.5,1,122300.0,-35.9,False
2020-02-01,Brateyevo,YuAO,166600,181000,694,0.45,6.0,8.5,2,116150.0,-30.3,False
2020-02-01,Butyrsky,SVAO,207700,229500,865,-0.52,6.0,8.5,2,179550.0,-13.6,False
2020-02-01,Chertanovo Severnoye,YuAO,186600,215800,777,0.44,6.0,8.5,4,117800.0,-36.9,False
2020-02-01,Chertanovo Tsentralnoye,YuAO,174800,186800,728,-1.78,6.0,8.5,2,101150.0,-42.1,False
2020-02-01,Chertanovo Yuzhnoye,YuAO,165300,175500,689,-4.26,6.0,8.5,5,136440.0,-17.5,False
2020-02-01,Cheryomushki,YuZAO,262300,290500,1093,3.18,6.0,8.5,3,185900.0,-29.1,False
2020-02-01,Danilovsky,YuAO,238300,264600,993,1.57,6.0,8.5,4,156950.0,-34.1,False
2020-02-01,Desyonovskoye,NAO,133400,149500,556,-1.26,6.0,8.5,6,76067.0,-43.0,True
2020-02-01,Dmitrovsky,SAO,177300,201100,739,-0.38,6.0,8.5,9,99789.0,-43.7,False
2020-02-01,Donskoy,YuAO,256300,289900,1068,7.91,6.0,8.5,6,180317.0,-29.6,False
2020-02-01,Dorogomilovo,ZAO,369800,406700,1541,-0.94,6.0,8.5,3,292833.0,-20.8,False
2020-02-01,Fili-Davydkovo,ZAO,281600,315200,1173,1.55,6.0,8.5,7,205000.0,-27.2,False
2020-02-01,Filimonkovskoye,NAO,125800,139500,524,-3.16,6.0,8.5,7,69029.0,-45.1,True
2020-02-01,Filyovsky Park,ZAO,298900,331700,1245,-0.41,6.0,8.5,3,208967.0,-30.1,False
2020-02-01,Gagarinsky,YuZAO,312600,350500,1302,-2.27,6.0,8.5,7,246143.0,-21.3,False
